id,role,salary,status
32c502e9,Security Expert,$82k,Open
cf599b94,Security Expert,$86k,Open
0005e9b2,Security Expert,$145k,Open
1a49af6b,Security Expert,$91k,Open
cfcf2f38,Security Expert,$135k,Open
5caf2850,Security Expert,$84k,Open
3eb519cc,Security Expert,$120k,Open
95d8cf3e,Security Expert,$81k,Open
a1a736d4,Security Expert,$130k,Open
da054815,Security Expert,$114k,Open
12783706,Security Expert,$145k,Open
ced4ba3f,Security Expert,$100k,Open
5f19a034,Security Expert,$140k,Open
5ae33a1f,Security Expert,$104k,Open
b3a90147,Security Expert,$101k,Open
8d818634,Security Expert,$138k,Open
de0f252a,Security Expert,$81k,Open
129d03cb,Security Expert,$82k,Open
42ecc0f2,Security Expert,$90k,Open
ae751be4,Security Expert,$149k,Open
09a17395,Security Expert,$135k,Open
bfcc2054,Security Expert,$80k,Open
3bb4d22c,Security Expert,$103k,Open
69251b63,Security Expert,$132k,Open
6590ca23,Security Expert,$124k,Open
75f3382a,Security Expert,$139k,Open
e063840a,Security Expert,$143k,Open
c7241c6a,Security Expert,$121k,Open
6f5df999,Security Expert,$119k,Open
11528965,Security Expert,$114k,Open
c6a9dd81,Security Expert,$112k,Open
9ca514ea,Security Expert,$95k,Open
55faac09,Security Expert,$119k,Open
ac811a0d,Security Expert,$125k,Open
cadebf01,Security Expert,$150k,Open
45f02164,Security Expert,$114k,Open
7ab704b7,Security Expert,$127k,Open
825b5b96,Security Expert,$119k,Open
1f13d6fb,Security Expert,$96k,Open
46642f7b,Security Expert,$91k,Open
d121ec90,Security Expert,$126k,Open
d36674ed,Security Expert,$133k,Open
e2b8e61a,Security Expert,$139k,Open
cfa6f444,Security Expert,$98k,Open
e8dc02ae,Security Expert,$122k,Open
0d385a83,Security Expert,$116k,Open
1d02a631,Security Expert,$95k,Open
6b0129a6,Security Expert,$139k,Open
ec1b1ed9,Security Expert,$85k,Open
8255d98b,Security Expert,$89k,Open
9c96c0e0,Security Expert,$110k,Open
876bdea4,Security Expert,$107k,Open
498db111,Security Expert,$122k,Open
f06096be,Security Expert,$108k,Open
8c147951,Security Expert,$134k,Open
b201e4b7,Security Expert,$122k,Open
22e2eb9a,Security Expert,$127k,Open
4f332c3d,Security Expert,$83k,Open
af0059b6,Security Expert,$134k,Open
84338046,Security Expert,$114k,Open
0627cb20,Security Expert,$104k,Open
1592c262,Security Expert,$114k,Open
db5e0089,Security Expert,$130k,Open
d4ff35a7,Security Expert,$117k,Open
7e81db14,Security Expert,$103k,Open
90c04839,Security Expert,$113k,Open
350bb6f5,Security Expert,$80k,Open
6f7f4c9d,Security Expert,$121k,Open
1bd1ec61,Security Expert,$150k,Open
66f9912f,Security Expert,$85k,Open
17bc3e23,Security Expert,$117k,Open
3ffa63ec,Security Expert,$95k,Open
5f37cec0,Security Expert,$82k,Open
8cea6948,Security Expert,$131k,Open
60646e35,Security Expert,$88k,Open
b727153a,Security Expert,$135k,Open
786c633d,Security Expert,$90k,Open
66818955,Security Expert,$112k,Open
e6a2b193,Security Expert,$83k,Open
2141ef8e,Security Expert,$113k,Open
689f4600,Security Expert,$92k,Open
ff9d60a2,Security Expert,$140k,Open
31fc85a7,Security Expert,$135k,Open
6ceb952a,Security Expert,$98k,Open
99104309,Security Expert,$114k,Open
