timestamp,station_id,temp,humid,condition
2026-02-08 03:26:24.147576,Berlin-91e0,-2,73,Normal
2026-02-08 03:26:25.147576,Berlin-91e0,15,90,Normal
2026-02-08 03:26:26.147576,Berlin-91e0,-23,92,Normal
2026-02-08 03:26:27.147576,Berlin-91e0,40,17,Normal
2026-02-08 03:26:28.147576,Berlin-91e0,-28,98,Normal
2026-02-08 03:26:29.147576,Berlin-91e0,24,27,Normal
2026-02-08 03:26:30.147576,Berlin-91e0,47,33,Normal
2026-02-08 03:26:31.147576,Berlin-91e0,-26,15,Normal
2026-02-08 03:26:32.147576,Berlin-91e0,-17,55,Normal
2026-02-08 03:26:33.147576,Berlin-91e0,-7,66,Normal
2026-02-08 03:26:34.147576,Berlin-91e0,39,42,Normal
2026-02-08 03:26:35.147576,Berlin-91e0,3,11,Normal
2026-02-08 03:26:36.147576,Berlin-91e0,-15,10,Normal
2026-02-08 03:26:37.147576,Berlin-91e0,9,74,Normal
2026-02-08 03:26:38.147576,Berlin-91e0,-22,97,Normal
2026-02-08 03:26:39.147576,Berlin-91e0,-18,33,Normal
2026-02-08 03:26:40.147576,Berlin-91e0,-19,96,Normal
2026-02-08 03:26:41.147576,Berlin-91e0,-25,17,Normal
2026-02-08 03:26:42.147576,Berlin-91e0,39,58,Normal
2026-02-08 03:26:43.147576,Berlin-91e0,10,26,Normal
2026-02-08 03:26:44.147576,Berlin-91e0,-9,79,Normal
2026-02-08 03:26:45.147576,Berlin-91e0,-6,47,Normal
2026-02-08 03:26:46.147576,Berlin-91e0,48,45,Normal
2026-02-08 03:26:47.147576,Berlin-91e0,-28,50,Normal
2026-02-08 03:26:48.147576,Berlin-91e0,35,63,Normal
2026-02-08 03:26:49.147576,Berlin-91e0,-16,78,Normal
2026-02-08 03:26:50.147576,Berlin-91e0,-5,22,Normal
2026-02-08 03:26:51.147576,Berlin-91e0,-14,86,Normal
2026-02-08 03:26:52.147576,Berlin-91e0,-5,54,Normal
2026-02-08 03:26:53.147576,Berlin-91e0,-2,83,Normal
2026-02-08 03:26:54.147576,Berlin-91e0,48,41,Normal
2026-02-08 03:26:55.147576,Berlin-91e0,26,17,Normal
2026-02-08 03:26:56.147576,Berlin-91e0,17,90,Normal
2026-02-08 03:26:57.147576,Berlin-91e0,-19,30,Normal
2026-02-08 03:26:58.147576,Berlin-91e0,-8,27,Normal
2026-02-08 03:26:59.147576,Berlin-91e0,35,19,Normal
2026-02-08 03:27:00.147576,Berlin-91e0,-16,47,Normal
2026-02-08 03:27:01.147576,Berlin-91e0,0,27,Normal
2026-02-08 03:27:02.147576,Berlin-91e0,-10,41,Normal
2026-02-08 03:27:03.147576,Berlin-91e0,-4,80,Normal
