shard_id,storage_location,link_url,allocated_size,checksum
SHARD-049319cc-0b32-4810-8982-d180f51964cc,s3://bucket-hustle-data/block_0,https://data-lake.com/download?id=56e5d784-b07c-4101-8092-02073faf9e73,99 GB,a1b2c3d4e5
SHARD-4b68dd46-12f3-442e-937b-12bd9929a8f6,s3://bucket-hustle-data/block_1,https://data-lake.com/download?id=4c6ac7a0-0907-44a1-a97c-7ca43ff8ca79,65 GB,a1b2c3d4e5
SHARD-f7ca3e43-150a-40dd-bd6a-fc966274dc75,s3://bucket-hustle-data/block_2,https://data-lake.com/download?id=7d6d24e3-3e3d-4d11-b543-08791192bbd2,10 GB,a1b2c3d4e5
SHARD-0ad38c51-9b16-4180-9006-7ea25e19187b,s3://bucket-hustle-data/block_3,https://data-lake.com/download?id=95decfea-5ae4-470f-9c71-339012078156,16 GB,a1b2c3d4e5
SHARD-3528d59c-9338-4a15-9c0d-40bc37e30111,s3://bucket-hustle-data/block_4,https://data-lake.com/download?id=680cdc31-f8a2-4ba5-b9a1-c96400971362,85 GB,a1b2c3d4e5
SHARD-be103e19-8f4e-4153-a716-429980e2d807,s3://bucket-hustle-data/block_5,https://data-lake.com/download?id=1d4138e2-bd90-4a2b-9fca-f6b00fcddccb,1 GB,a1b2c3d4e5
SHARD-d3a4e3b7-934a-467e-b00a-3a4bf649d946,s3://bucket-hustle-data/block_6,https://data-lake.com/download?id=b0575008-b461-445e-9dfc-b124745d60ab,9 GB,a1b2c3d4e5
SHARD-bba2f01b-b454-4d86-aebf-dee6c0164917,s3://bucket-hustle-data/block_7,https://data-lake.com/download?id=b97619b1-8431-470d-9a84-154b820f58a7,21 GB,a1b2c3d4e5
SHARD-954ad8b9-2472-4a08-9e39-c29fd7343738,s3://bucket-hustle-data/block_8,https://data-lake.com/download?id=5683baae-1961-423c-ab94-cec60d04e215,40 GB,a1b2c3d4e5
SHARD-4e58eb18-cada-45eb-a599-a4dfd9d2a81c,s3://bucket-hustle-data/block_9,https://data-lake.com/download?id=3cf36408-08a7-40b4-a37e-53d1f68f561b,28 GB,a1b2c3d4e5
SHARD-4d880ab3-9884-4ec3-893a-023722134808,s3://bucket-hustle-data/block_10,https://data-lake.com/download?id=5a782e41-2b2a-4dc7-ad0e-3242ae91d777,33 GB,a1b2c3d4e5
SHARD-ebdc2d4d-6131-44ee-a21f-894668683196,s3://bucket-hustle-data/block_11,https://data-lake.com/download?id=0797318f-6f28-46e5-a210-bdec3ec3bc82,33 GB,a1b2c3d4e5
SHARD-2d82c06c-bca7-45b6-b77e-e7edf5d5e16b,s3://bucket-hustle-data/block_12,https://data-lake.com/download?id=78513cfc-89c9-4a17-a648-7007207ddabf,82 GB,a1b2c3d4e5
SHARD-a75012cc-9a65-4122-8c72-ad849172a5b7,s3://bucket-hustle-data/block_13,https://data-lake.com/download?id=3bc91652-f41f-4c77-a828-4705236cb6fb,82 GB,a1b2c3d4e5
SHARD-144645dd-2bf6-4b5a-8a73-7ad2409f349c,s3://bucket-hustle-data/block_14,https://data-lake.com/download?id=a6b0c85a-d8f5-4dab-8f38-05ab7c710b0b,58 GB,a1b2c3d4e5
