timestamp,station_id,temp,humid,condition
2026-02-12 10:07:39.414185,NewYork-cc20,31,85,Normal
2026-02-12 10:07:40.414185,NewYork-cc20,33,56,Normal
2026-02-12 10:07:41.414185,NewYork-cc20,-28,100,Normal
2026-02-12 10:07:42.414185,NewYork-cc20,43,51,Normal
2026-02-12 10:07:43.414185,NewYork-cc20,45,31,Normal
2026-02-12 10:07:44.414185,NewYork-cc20,4,12,Normal
2026-02-12 10:07:45.414185,NewYork-cc20,-26,93,Normal
2026-02-12 10:07:46.414185,NewYork-cc20,-5,9,Normal
2026-02-12 10:07:47.414185,NewYork-cc20,-4,36,Normal
2026-02-12 10:07:48.414185,NewYork-cc20,-25,4,Normal
2026-02-12 10:07:49.414185,NewYork-cc20,-3,78,Normal
2026-02-12 10:07:50.414185,NewYork-cc20,-22,51,Normal
2026-02-12 10:07:51.414185,NewYork-cc20,-12,25,Normal
2026-02-12 10:07:52.414185,NewYork-cc20,2,51,Normal
2026-02-12 10:07:53.414185,NewYork-cc20,33,37,Normal
2026-02-12 10:07:54.414185,NewYork-cc20,-9,97,Normal
2026-02-12 10:07:55.414185,NewYork-cc20,-21,39,Normal
2026-02-12 10:07:56.414185,NewYork-cc20,8,44,Normal
2026-02-12 10:07:57.414185,NewYork-cc20,37,8,Normal
2026-02-12 10:07:58.414185,NewYork-cc20,44,94,Normal
2026-02-12 10:07:59.414185,NewYork-cc20,-30,5,Normal
2026-02-12 10:08:00.414185,NewYork-cc20,7,31,Normal
2026-02-12 10:08:01.414185,NewYork-cc20,23,82,Normal
2026-02-12 10:08:02.414185,NewYork-cc20,8,98,Normal
2026-02-12 10:08:03.414185,NewYork-cc20,32,22,Normal
2026-02-12 10:08:04.414185,NewYork-cc20,-11,85,Normal
2026-02-12 10:08:05.414185,NewYork-cc20,-22,8,Normal
2026-02-12 10:08:06.414185,NewYork-cc20,15,16,Normal
2026-02-12 10:08:07.414185,NewYork-cc20,6,13,Normal
2026-02-12 10:08:08.414185,NewYork-cc20,30,16,Normal
