job_id,title,company,salary_range,status,created_at
d41f1e57,Frontend Dev,FinBank-95,$92k,Hiring,2026-02-07
a9c54919,Data Engineer,StartupX-26,$113k,Hiring,2026-02-07
9060b054,Frontend Dev,CloudSys-4,$68k,Hiring,2026-02-07
224944d8,Frontend Dev,StartupX-46,$54k,Hiring,2026-02-07
eae8cab1,DevOps,StartupX-4,$129k,Hiring,2026-02-07
5b02eac2,Frontend Dev,CloudSys-8,$145k,Hiring,2026-02-07
d347e8f9,DevOps,FinBank-42,$87k,Hiring,2026-02-07
d7a2c46f,Data Engineer,CloudSys-80,$78k,Hiring,2026-02-07
a6752de8,Data Engineer,CloudSys-91,$53k,Hiring,2026-02-07
02f895a9,Backend Dev,SecureNet-3,$137k,Hiring,2026-02-07
9740e7c1,Backend Dev,TechCorp-23,$58k,Hiring,2026-02-07
dfcc58fc,Frontend Dev,FinBank-100,$147k,Hiring,2026-02-07
facfeca7,Backend Dev,CloudSys-34,$112k,Hiring,2026-02-07
4c60baa5,Frontend Dev,FinBank-85,$146k,Hiring,2026-02-07
5acdb348,Frontend Dev,StartupX-69,$74k,Hiring,2026-02-07
9ad86fba,DevOps,StartupX-3,$70k,Hiring,2026-02-07
c32710a7,Data Engineer,TechCorp-31,$100k,Hiring,2026-02-07
e223db16,Data Engineer,SecureNet-64,$135k,Hiring,2026-02-07
30cc6e2d,Backend Dev,TechCorp-91,$129k,Hiring,2026-02-07
33b46dcf,Backend Dev,FinBank-17,$50k,Hiring,2026-02-07
dcc9c603,DevOps,SecureNet-34,$111k,Hiring,2026-02-07
084322a0,DevOps,FinBank-58,$119k,Hiring,2026-02-07
89365dd7,DevOps,SecureNet-47,$148k,Hiring,2026-02-07
a9878268,DevOps,SecureNet-70,$143k,Hiring,2026-02-07
debfaf3b,DevOps,SecureNet-25,$65k,Hiring,2026-02-07
03e8f0df,Data Engineer,StartupX-86,$105k,Hiring,2026-02-07
d472ddaa,Backend Dev,CloudSys-57,$96k,Hiring,2026-02-07
41d2c387,Frontend Dev,SecureNet-70,$87k,Hiring,2026-02-07
5503d941,Data Engineer,FinBank-15,$135k,Hiring,2026-02-07
027f6b31,DevOps,FinBank-69,$135k,Hiring,2026-02-07
cf0ef6b9,Backend Dev,CloudSys-96,$133k,Hiring,2026-02-07
03e21ecf,Frontend Dev,SecureNet-45,$127k,Hiring,2026-02-07
8f395958,Backend Dev,CloudSys-42,$65k,Hiring,2026-02-07
6b3e330f,Security Analyst,SecureNet-6,$118k,Hiring,2026-02-07
986579ef,DevOps,StartupX-15,$94k,Hiring,2026-02-07
1debab23,Security Analyst,StartupX-42,$85k,Hiring,2026-02-07
ff64e06c,DevOps,FinBank-81,$60k,Hiring,2026-02-07
