shard_id,storage_location,link_url,allocated_size
SHARD-d9820e1e-69b7-4c61-a7b4-42e1f37c3600,s3://bucket/block_0,url_0,10 GB
SHARD-93a78500-6e1d-48a5-8c4c-2bbac355b50e,s3://bucket/block_1,url_1,64 GB
SHARD-19e7d31f-6f68-4512-aea0-f6b559855878,s3://bucket/block_2,url_2,27 GB
SHARD-451eda04-5430-4679-8aa5-c4579e999690,s3://bucket/block_3,url_3,50 GB
SHARD-75a6f33f-6ce9-4fd3-8832-72c282b4c9c5,s3://bucket/block_4,url_4,24 GB
SHARD-8b950da3-19f4-4ec5-8050-ced6a419cba4,s3://bucket/block_5,url_5,34 GB
SHARD-210b4a57-efd6-42f2-9ad6-69c436a144b7,s3://bucket/block_6,url_6,99 GB
SHARD-b5f2cb3a-544a-4978-9cf9-115388cb4bc4,s3://bucket/block_7,url_7,13 GB
SHARD-eeed55fb-e0f2-4d8b-9292-b89159a31436,s3://bucket/block_8,url_8,57 GB
SHARD-7ab81746-ef05-4aeb-9763-720197151c6a,s3://bucket/block_9,url_9,9 GB
SHARD-93468966-f7c4-4ac4-91a5-d19a6bdfe132,s3://bucket/block_10,url_10,3 GB
SHARD-f26a2aa5-76b3-4f33-9b4a-e7a6a9cda8ed,s3://bucket/block_11,url_11,46 GB
SHARD-45f914fb-f4d2-49af-9df7-614774f6029f,s3://bucket/block_12,url_12,40 GB
SHARD-dcb882a7-3b85-40d6-9124-f10a9db9fe62,s3://bucket/block_13,url_13,80 GB
SHARD-555ecd06-bdfb-41b9-9494-91d8c6f4b462,s3://bucket/block_14,url_14,84 GB
SHARD-ff48e88e-0597-4109-bf4d-38fd2e85064e,s3://bucket/block_15,url_15,83 GB
SHARD-30d7dea2-cf9e-404c-8b44-532ba04c9f56,s3://bucket/block_16,url_16,84 GB
SHARD-c6127f75-1fb1-4e03-89d7-779739413a1b,s3://bucket/block_17,url_17,21 GB
SHARD-5eb4eb05-4236-488e-9c05-f041a2b41076,s3://bucket/block_18,url_18,85 GB
SHARD-566e4a91-4d9b-4524-bd4b-65c88a30d5d8,s3://bucket/block_19,url_19,88 GB
SHARD-bca729ba-1f6d-4fec-b200-0cc5f17540cc,s3://bucket/block_20,url_20,77 GB
SHARD-8a013748-3f21-4f6b-a3b4-fdb502bf5560,s3://bucket/block_21,url_21,8 GB
SHARD-8dc8bcec-1a65-49c0-b3d6-d64b1614ebc9,s3://bucket/block_22,url_22,30 GB
SHARD-e4304f48-2be4-4993-8264-da40c12996b3,s3://bucket/block_23,url_23,40 GB
SHARD-0f956756-1706-429e-9827-c4779e4e5afc,s3://bucket/block_24,url_24,71 GB
SHARD-de5c35bf-1329-4d6a-89b2-cea32afee74b,s3://bucket/block_25,url_25,12 GB
SHARD-6faad78d-386e-4fc1-b5e9-e64d282aa2a5,s3://bucket/block_26,url_26,17 GB
SHARD-ee282353-20b4-4975-b1e6-aba18a3cdcc3,s3://bucket/block_27,url_27,66 GB
SHARD-0fdc53a0-f74b-4060-957d-025c8b621361,s3://bucket/block_28,url_28,54 GB
SHARD-28a0f7ec-f4ce-43db-8e00-9364f65efad5,s3://bucket/block_29,url_29,68 GB
SHARD-8344b9c9-0985-4d5a-b0bb-ed15de4c5fc6,s3://bucket/block_30,url_30,68 GB
SHARD-bfe5d8c4-3cb9-4332-b125-8879787e5a35,s3://bucket/block_31,url_31,16 GB
SHARD-2277b980-294a-42de-89fc-c60a7d28ecee,s3://bucket/block_32,url_32,74 GB
SHARD-681fff0a-6f87-4764-9bc6-fcd58129e3f2,s3://bucket/block_33,url_33,25 GB
SHARD-4ab570f7-77a7-4aad-801d-754839d00b53,s3://bucket/block_34,url_34,89 GB
SHARD-a8777dd5-55a2-44e0-a8c3-eed83de03127,s3://bucket/block_35,url_35,67 GB
SHARD-9e78c898-9eef-4f46-b189-4b341c712492,s3://bucket/block_36,url_36,45 GB
SHARD-734a9b43-aacf-4a5e-a042-fcc728052329,s3://bucket/block_37,url_37,10 GB
SHARD-842f10f7-3de1-45fb-acbd-f13349cc5724,s3://bucket/block_38,url_38,100 GB
SHARD-830ae657-e131-4a5e-9ff5-bf47cfcbd7aa,s3://bucket/block_39,url_39,42 GB
